Device,Interface,Speed,State:last1d,State:Current,Last Change,Title,VLANs
KAd-A002-vfswb,Gi3/30,10000000,used,up,2022-06-27 12:33,A222/D.306 ###39499,
KAd-A002-vfswb,Gi3/31,1000000000,used,up,2022-06-28 13:01,A222/D.307 ###39499,
KAd-A002-vfswb,Gi3/32,1000000000,used,up,2022-06-28 15:52,A218/D.308 ###39499,
KAd-A002-vfswb,Gi3/33,1000000000,used,up,2022-05-24 02:33,A218/D.309 ###39499,
KAd-A002-vfswb,Gi3/34,1000000000,free,down,2015-12-01 13:07,A200K/D.310 ###39499,
KAd-A002-vfswb,Gi3/35,1000000000,used,up,2022-05-05 05:47,A200K/D.311 ###39499,
KAd-A002-vfswb,Gi3/36,1000000000,free,down,2016-09-09 09:35,A200/D.312 ###39499,
KAd-A002-vfswb,Gi3/37,1000000000,used,down,2022-06-28 08:32,A200/D.325 ###39499,
KAd-A002-vfswb,Gi3/38,100000000,used,up,2022-05-19 11:36,A200/D.326 ###39499,
KAd-A002-vfswb,Gi3/39,1000000000,used,up,2022-03-30 15:38,A200/D.327 ###39499,
KAd-A002-vfswb,Gi3/40,10000000,used,up,2022-06-23 15:55,A200/D.328 ###39499,
KAd-A002-vfswb,Gi3/41,1000000000,used,up,2022-06-28 03:26,A200/D.329 ###39499,
KAd-A002-vfswb,Gi3/42,1000000000,used,up,2022-06-28 11:43,A200/D.330 ###39499,
KAd-A002-vfswb,Gi3/43,1000000000,free,down,2016-08-29 11:21,A200/D.331 ###39499,
KAd-A002-vfswb,Gi3/44,1000000000,free,down,2016-09-01 14:47,A200/D.332 ###39499,
KAd-A002-vfswb,Gi3/45,1000000000,free,down,2016-09-01 14:49,A200/D.333 ###39499,
KAd-A002-vfswb,Gi3/46,1000000000,used,down,2022-06-28 13:03,A200/D.334 ###39499,
KAd-A002-vfswb,Gi3/47,1000000000,free,down,2016-08-24 15:39,A200/D.335 ###39499,
KAd-A002-vfswb,Gi3/48,1000000000,used,down,2022-06-28 12:07,A200/D.336 ###39499,
KAd-A002-vfswb,Gi4/1,1000000000,free,down,2022-04-19 11:27,A200/D.337 ###39499,
KAd-A002-vfswb,Gi4/2,1000000000,free,down,2016-09-09 11:35,A200/D.338 ###39499,
KAd-A002-vfswb,Gi4/3,1000000000,free,down,2015-12-01 13:07,A222/D.461 WAP ###39499,
KAd-A002-vfswb,Gi4/4,1000000000,used,up,2020-09-17 05:15,A222/D.462 WAP ###39499,
KAd-A002-vfswb,Gi4/5,1000000000,free,down,2017-11-06 08:51,A300G/D.339 ###39505,
KAd-A002-vfswb,Gi4/6,1000000000,free,down,2019-01-31 13:33,A300G/D.340 ###39505,
KAd-A002-vfswb,Gi4/7,1000000000,free,down,2022-04-26 15:42,A300E/D.341 ###39505,
KAd-A002-vfswb,Gi4/8,1000000000,free,down,2020-02-19 15:52,A300E/D.342 ###39505,
KAd-A002-vfswb,Gi4/9,1000000000,free,down,2020-03-18 11:23,A300E/D.343 ###39505,
KAd-A002-vfswb,Gi4/10,1000000000,free,down,2020-04-15 13:56,A300E/D.344 ###39505,
KAd-A002-vfswb,Gi4/11,1000000000,free,down,2022-03-22 07:23,A300E/D.345 ###39505,
KAd-A002-vfswb,Gi4/12,1000000000,free,down,2018-05-02 10:44,A300E/D.346 ###39505,
KAd-A002-vfswb,Gi4/13,1000000000,used,up,2022-05-18 06:11,A300E/D.347 ###39505,
KAd-A002-vfswb,Gi4/14,1000000000,free,down,2020-03-16 15:55,A300E/D.348 ###39505,
KAd-A002-vfswb,Gi4/15,1000000000,free,down,2015-12-01 13:07,A322L/D.457 ###39505,
KAd-A002-vfswb,Gi4/16,1000000000,free,down,2015-12-01 13:07,A322L/D.458 ###39505,
KAd-A002-vfswb,Gi4/17,1000000000,free,down,2022-06-15 17:31,A322L/D.459 ###39505,
KAd-A002-vfswb,Gi4/18,1000000000,free,down,2019-03-04 13:22,A322L/D.460 ###39505,
KAd-A002-vfswb,Gi4/19,1000000000,free,down,2015-12-01 13:07,A308/D.508 ###39505,
KAd-A002-vfswb,Gi4/20,1000000000,free,down,2018-12-20 09:27,A308/D.507 ###39505,
KAd-A002-vfswb,Gi4/21,1000000000,free,down,2017-12-01 14:33,/D.509,
KAd-A002-vfswb,Gi4/22,1000000000,free,down,2015-12-01 13:07,A300B/D.506 ###39505,
KAd-A002-vfswb,Gi4/23,1000000000,free,down,2016-07-15 14:06,/D.512,
KAd-A002-vfswb,Gi4/24,1000000000,free,down,2016-02-11 09:01,/D.465,
KAd-A002-vfswb,Gi4/25,1000000000,free,down,2016-02-11 08:09,B006/D.479 ###39495,
KAd-A002-vfswb,Gi4/26,1000000000,used,up,2022-06-08 06:31,B006/D.472 ###39495,
KAd-A002-vfswb,Gi4/27,1000000000,free,down,2021-11-09 12:27,A300E/D.349 ###39505,
